diet	species	Cor_diet_sp	Pval_diet_sp	Cor_sp_cdai	Pval_sp_cdai	Qval_diet_sp	Qval_sp_cdai
breast_fed	Dialister_invisus	0.0421765827015024	0.527238163264095	-0.127033622103481	0.0559868443246178	0.793874667529779	0.0883542386997875
breast_fed	Clostridium_leptum	0.205070970167825	0.00189814601481937	-0.243601015160588	0.000210607972935065	0.0613546656639478	0.000966882057565524
breast_fed	Ruminococcus_torques	0.0081152059282715	0.903219841808943	-0.100351276527321	0.131706822661328	0.967793950677714	0.175031435378871
breast_fed	Blautia_wexlerae	0.170985160017076	0.00985248732835866	-0.173260115052939	0.00890111486734713	0.130599672139762	0.020432104581865
breast_fed	Candidatus_Cibionibacter_quicibialis	0.0514465281872437	0.440498355447862	-0.232579198193992	0.000410264693061033	0.739949431966006	0.00172653058329851
breast_fed	Bilophila_wadsworthia	0.168340439560336	0.0110707238460382	-0.143009827160386	0.0312520708495765	0.137952721172385	0.0572530901783967
breast_fed	Escherichia_coli	-0.122038681740533	0.0664444061868564	0.139393534445937	0.0358311236218738	0.333414257812106	0.0634902365931447
breast_fed	Phocaeicola_dorei	0.134914537625233	0.0422788700551939	-0.17819353596116	0.00711293766368918	0.271528586674181	0.0167071326519211
breast_fed	Faecalimonas_umbilicata	-0.086192706900391	0.195712376938918	0.104711284823705	0.115660247096245	0.523309544383573	0.155755799422943
breast_fed	Blautia_hansenii	-0.0849227866457761	0.202404392408326	0.0203741086879749	0.760134667510791	0.531012036518485	0.791480426995772
breast_fed	Anaerotignum_lactatifermentans	0.166902697454115	0.0117872505465833	-0.0634297428790823	0.341427773630654	0.140495240986915	0.396370173985012
breast_fed	Ruminococcus_lactaris	0.064859581422694	0.330633775507833	-0.0899716719055346	0.176753877910441	0.655001934114611	0.220396810727834
breast_fed	Evtepia_gabavorous	0.100898182658471	0.129604708267151	-0.151992088708893	0.0219822580069813	0.435571690305889	0.0443144926401951
breast_fed	GGB3537_SGB4727	0.0519447063186969	0.4360790893325	-0.196643296282361	0.00292530058055777	0.736927185779116	0.00777514101674566
breast_fed	Bacteroides_xylanisolvens	0.00754073771178515	0.910040811179488	-0.122426344974809	0.0655793278872682	0.969819451482016	0.100356244191123
breast_fed	Eubacterium_ventriosum	0.12954156128444	0.0512731724487365	-0.207518018723494	0.00166880362091521	0.303214847239215	0.00495732840330694
breast_fed	Alistipes_finegoldii	0.0732524964626441	0.271748671657427	-0.138502605012076	0.0370427322468946	0.599210908441125	0.0645054475333854
