diet	species	Cor_diet_sp	Pval_diet_sp	Cor_sp_cdai	Pval_sp_cdai	Qval_diet_sp	Qval_sp_cdai
breast_fed	Vescimonas_coprocola	0.246467555776741	0.000176175223884273	-0.228193824748204	0.000530359679543007	0.0198870738019952	0.00206024337053245
baby_food	Evtepia_gabavorous	-0.252920354432769	0.000116958744436116	-0.151992088708893	0.0219822580069813	0.017256096123473	0.0443144926401951
baby_food	Mogibacterium_sp_BX12	-0.245360840195875	0.00018879340009347	-0.251087406968852	0.000131537180610407	0.0201274741544094	0.000660330402687183
baby_food	Anaeromassilibacillus_sp_An250	-0.215230379769205	0.0011016190096503	-0.300998056455593	3.88411193250457e-06	0.044972879139303	9.80738262957404e-05
family_food	Clostridium_sp_AT4	0.232267733908319	0.000417881371175266	-0.159544640575251	0.0161307592768572	0.0276522190098392	0.0346639720630335
age_1_5_years_5	Phocaeicola_dorei	-0.221083918097648	0.000796011158664635	-0.17819353596116	0.00711293766368918	0.039167831114806	0.0167071326519211
age_1_5_years_6	Phocaeicola_dorei	-0.226321783187199	0.000590926080289646	-0.17819353596116	0.00711293766368918	0.0335563705734035	0.0167071326519211
age_1_5_years_6	Clostridium_fessum	-0.248007958766743	0.000159919408519318	-0.254330226959536	0.000106790408593349	0.019799054512811	0.000599212848218234
age_1_5_years_6	Clostridium_sp_AT4	-0.241663649562638	0.000237330404435643	-0.159544640575251	0.0161307592768572	0.0213397350582344	0.0346639720630335
age_5_10_years_6	Clostridium_fessum	-0.29722529267503	5.19311699815941e-06	-0.254330226959536	0.000106790408593349	0.00132874553592906	0.000599212848218234
age_5_10_years_6	Flavonifractor_plautii	-0.314472413812529	1.33095114620546e-06	-0.263515611197119	5.8291946412325e-05	0.000638523812392069	0.000399750903097897
age_5_10_years_6	Clostridium_sp_AT4	-0.302136691582382	3.55528262046809e-06	-0.159544640575251	0.0161307592768572	0.0012046430256232	0.0346639720630335
age_5_10_years_6	Dysosmobacter_welbionis	-0.253867190600074	0.000110034816359278	-0.407803940829769	1.65639584489482e-10	0.017256096123473	1.67295980334377e-08
age_5_10_years_6	Hydrogenoanaerobacterium_saccharovorans	-0.228285313424258	0.000527552436061187	-0.250415313167274	0.000137296420360701	0.0316366601500443	0.000660330402687183
age_5_10_years_6	Clostridia_bacterium_UC5_1_1D1	-0.288062269651157	1.03383306009723e-05	-0.281765626178608	1.63678683302399e-05	0.00247990705290824	0.000183683855706025
age_10_18_years_6	Clostridium_fessum	-0.229717620504155	0.000485358816286231	-0.254330226959536	0.000106790408593349	0.0300452764017187	0.000599212848218234
age_10_18_years_6	Flavonifractor_plautii	-0.233140284682678	0.000396867742600153	-0.263515611197119	5.8291946412325e-05	0.0267400502545677	0.000399750903097897
age_10_18_years_6	Clostridium_sp_AT4	-0.219746593433134	0.000857987458286796	-0.159544640575251	0.0161307592768572	0.0397529885286575	0.0346639720630335
age_4_12_months_7	Clostridia_bacterium_UC5_1_1D1	-0.237637542126634	0.000303269475048704	-0.281765626178608	1.63678683302399e-05	0.0228225146124887	0.000183683855706025
age_1_5_years_7	Anaerostipes_hadrus	-0.225818750751704	0.000608257733953216	-0.212113478422704	0.00130522105691837	0.0335563705734035	0.00411960396089861
age_1_5_years_7	Mediterraneibacter_glycyrrhizinilyticus	-0.252407366233268	0.000120878477373668	-0.151548682169981	0.0223766249965341	0.017256096123473	0.0443144926401951
age_1_5_years_7	Flavonifractor_plautii	-0.321684240943289	7.33926058109726e-07	-0.263515611197119	5.8291946412325e-05	0.000580458154332373	0.000399750903097897
age_1_5_years_7	Clostridium_sp_AT4	-0.246910256743385	0.000171351976520973	-0.159544640575251	0.0161307592768572	0.0198870738019952	0.0346639720630335
age_1_5_years_7	Dysosmobacter_welbionis	-0.272281130208646	3.20313470407373e-05	-0.407803940829769	1.65639584489482e-10	0.00647033210222893	1.67295980334377e-08
age_1_5_years_7	Anaerotruncus_colihominis	-0.220339144422772	0.000829997701204179	-0.255198220019067	0.000100948753139421	0.0397529885286575	0.000599212848218234
age_1_5_years_7	Clostridia_bacterium_UC5_1_1D1	-0.310433105576791	1.84510084220476e-06	-0.281765626178608	1.63678683302399e-05	0.000786833003597985	0.000183683855706025
age_5_10_years_7	Mediterraneibacter_glycyrrhizinilyticus	-0.225711209739284	0.000612023434116271	-0.151548682169981	0.0223766249965341	0.0335563705734035	0.0443144926401951
age_5_10_years_7	Flavonifractor_plautii	-0.315361793202594	1.2377876657022e-06	-0.263515611197119	5.8291946412325e-05	0.000638523812392069	0.000399750903097897
age_5_10_years_7	Dysosmobacter_welbionis	-0.234346569601299	0.000369428790895551	-0.407803940829769	1.65639584489482e-10	0.0261783392859765	1.67295980334377e-08
age_5_10_years_7	Clostridia_bacterium_UC5_1_1D1	-0.306301681349559	2.56424344906106e-06	-0.281765626178608	1.63678683302399e-05	0.000984156635749634	0.000183683855706025
age_10_18_years_7	Flavonifractor_plautii	-0.301394484847791	3.76647115880106e-06	-0.263515611197119	5.8291946412325e-05	0.0012046430256232	0.000399750903097897
age_10_18_years_7	Dysosmobacter_welbionis	-0.278094020561797	2.12883055093903e-05	-0.407803940829769	1.65639584489482e-10	0.00480614803206118	1.67295980334377e-08
age_10_18_years_7	Anaerotruncus_colihominis	-0.241610668061306	0.000238103748759654	-0.255198220019067	0.000100948753139421	0.0213397350582344	0.000599212848218234
