"source","target","weight","p"
"almE","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.585464404430487,3.71497816095764e-05
"tetA(46)","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.509848781258848,0.000638308715402955
"Ruminococcus_bromii","Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance",0.829429859240905,2.15005538050725e-13
"Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics","oleC",0.502264839405191,0.000820861962059018
"rphB","basS",0.520978442035166,0.00044256087503355
"arlR","basS",0.54249096850208,0.000208013498396368
"vanXY_gene_in_vanG_cluster","basS",0.601895233523804,1.77128407728465e-05
"emrY","basS",0.520622529645361,0.000447606318597877
"tet(W/N/W)","basS",0.528583359202235,0.000340344569430103
"Pseudomonas_aeruginosa_CpxR","basS",0.58795910954214,3.32715515668587e-05
"golS","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",0.532329152362543,0.000297324214488368
"vanXY_gene_in_vanG_cluster","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",0.540169911010266,0.000226143569100694
"vanV_gene_in_vanB_cluster","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",0.504088550584241,0.000774088832362268
"tetA(60)","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",0.528301029715538,0.000343589758963304
"emrY","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",0.6107478488034,1.17393943743415e-05
"Staphylococcus_aureus_rpoB_mutants_conferring_resistance_to_rifampicin","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",0.534316042742751,0.000277674792722536
"Pseudomonas_aeruginosa_CpxR","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",0.541048124657218,0.000219410445723122
"Dorea_formicigenerans","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",-0.550856900288514,0.000153162761094724
"Ruminococcus_torques","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",-0.570617376175497,6.93576985309948e-05
"vanR_gene_in_vanB_cluster","TaeA",0.732968987894925,5.21999742150324e-09
"macB","TaeA",0.60978464266609,1.22711631987733e-05
"Clostridioides_difficile_EF-Tu_mutants_conferring_resistance_to_elfamycin","TaeA",0.576417719012642,5.47910684767036e-05
"tetB(60)","TaeA",-0.60970975043169,1.23052156724244e-05
"tsnR","TaeA",0.620035158983591,7.50635834954379e-06
"tetA(P)","TaeA",0.608236143390956,1.31618091954111e-05
"PvrR","TaeA",-0.527860628308922,0.000348830076040432
"Escherichia_coli","TaeA",-0.554332922029786,0.000133834288283416
"Blautia_obeum","TaeA",0.544929128393082,0.000190835115028038
"Dorea_longicatena","TaeA",0.549189868910686,0.000162973359362289
"Coprococcus_comes","TaeA",0.553542427715379,0.000138052149564877
"ASPASN_PWY","TaeA",-0.576410540355532,5.47918970578316e-05
"FASYN_ELONG_PWY","TaeA",-0.630693480029501,4.38993825929423e-06
"GLYCOLYSIS_E_D","TaeA",-0.596091222158704,2.30993067769226e-05
"HOMOSER_METSYN_PWY","TaeA",-0.616874537597772,8.77015897924788e-06
"MET_SAM_PWY","TaeA",-0.610327345731002,1.1969326038308e-05
"METSYN_PWY","TaeA",-0.613055168587724,1.05269593411739e-05
"P161_PWY","TaeA",-0.605112351549556,1.52556969006548e-05
"P4_PWY","TaeA",-0.598761891456896,2.0461851000961e-05
"P461_PWY","TaeA",-0.616875567134857,8.77015897924788e-06
"PENTOSE_P_PWY","TaeA",-0.587781239903595,3.35203882662115e-05
"POLYISOPRENSYN_PWY","TaeA",-0.577000454089701,5.34867931687561e-05
"PWY_5347","TaeA",-0.612143653666631,1.09900309668547e-05
"PWY_5838","TaeA",-0.621064717435669,7.13154274495125e-06
"PWY_5840","TaeA",-0.630851873891359,4.35523627281046e-06
"PWY_5850","TaeA",-0.618370423492826,8.15298889476017e-06
"PWY_5861","TaeA",-0.614884788995658,9.6548272928955e-06
"PWY_5897","TaeA",-0.623768363751542,6.24310078455769e-06
"PWY_5898","TaeA",-0.623768363751542,6.24310078455769e-06
"PWY_5899","TaeA",-0.623768363751542,6.24310078455769e-06
"PWY_5918","TaeA",-0.607197671079688,1.38246132292354e-05
"PWY_5989","TaeA",-0.609412737497002,1.24711212537469e-05
"PWY_6147","TaeA",-0.589886252756478,3.06399585409074e-05
"PWY_6282","TaeA",-0.627023140333572,5.29222426709072e-06
"PWY_6285","TaeA",-0.612631548158101,1.07517118087481e-05
"PWY_6519","TaeA",-0.608583734224204,1.2965647007931e-05
"PWY_6961","TaeA",-0.584778027194211,3.8267255617258e-05
"PWY_7663","TaeA",-0.620304314880831,7.40838898448356e-06
"PWY_7664","TaeA",-0.630412127802546,4.45482505903585e-06
"PWY0_1297","TaeA",-0.579948803274065,4.72041798097538e-05
"PWY0_1298","TaeA",-0.586770584646501,3.50695021463383e-05
"PWY0_1477","TaeA",-0.6003997803086,1.89585935808208e-05
"PWY0_301","TaeA",-0.582012787648359,4.31354326149438e-05
"PWY0_781","TaeA",-0.597192428652234,2.19644993451663e-05
"PWY0_845","TaeA",-0.610141441341764,1.20792970953246e-05
"PWY0_862","TaeA",-0.62981812912656,4.58822461857205e-06
"PWY4FS_7","TaeA",-0.574885865951832,5.83252814593538e-05
"PWY4FS_8","TaeA",-0.574801527877102,5.84944197399667e-05
"PWY66_409","TaeA",-0.564499815372042,8.9471563735776e-05
"PYRIDNUCSAL_PWY","TaeA",-0.573207535864119,6.24612800603116e-05
"PYRIDOXSYN_PWY","TaeA",-0.607640112307849,1.35419923142626e-05
"ANAGLYCOLYSIS_PWY","TaeA",-0.53893777224974,0.000236488506507131
"ARGSYNBSUB_PWY","TaeA",-0.526361048626026,0.000367529416824126
"ARO_PWY","TaeA",-0.523816385716446,0.000401742649512647
"COA_PWY","TaeA",-0.51920813142138,0.000469663451376705
"COA_PWY_1","TaeA",-0.516745920461577,0.000510440654239859
"COMPLETE_ARO_PWY","TaeA",-0.527730436952603,0.000350425908713233
"DTDPRHAMSYN_PWY","TaeA",-0.503984215703741,0.000776657164967005
"GLYCOGENSYNTH_PWY","TaeA",-0.509852199088244,0.000638308715402955
"NONMEVIPP_PWY","TaeA",-0.518470633901187,0.000481196232139456
"PANTO_PWY","TaeA",-0.518536941939355,0.000480225946079536
"PANTOSYN_PWY","TaeA",-0.505676136226687,0.000735701687664352
"PEPTIDOGLYCANSYN_PWY","TaeA",-0.53000969220865,0.000323343612901632
"PWY_3841","TaeA",-0.521860231781535,0.000429804372982339
"PWY_5097","TaeA",-0.527632414066898,0.000351587340484194
"PWY_5686","TaeA",-0.510043945612114,0.000634482539753332
"PWY_6151","TaeA",-0.516643817692717,0.000512156380863427
"PWY_6163","TaeA",-0.515846004684205,0.000525953799341493
"PWY_6385","TaeA",-0.536858375891043,0.000253809226068233
"PWY_6386","TaeA",-0.526867730248094,0.000361101243541609
"PWY_6387","TaeA",-0.530917075677118,0.000313223523337149
"PWY_6700","TaeA",-0.520334146490267,0.000451766066717463
"PWY_7238","TaeA",-0.516789430863566,0.000509729548611175
"PWY_7790","TaeA",-0.509476991235872,0.000645889064421056
"PWY_7791","TaeA",-0.509476991235872,0.000645889064421056
"PWY_7851","TaeA",-0.515888800624664,0.00052549355541317
"TaeA","vanR_gene_in_vanB_cluster",0.732968987894925,5.21999742150324e-09
"macB","vanR_gene_in_vanB_cluster",0.629462932895314,4.67113884050546e-06
"tetB(60)","vanR_gene_in_vanB_cluster",-0.570419220375038,6.9948765897204e-05
"tsnR","vanR_gene_in_vanB_cluster",0.620958364079288,7.16925552556317e-06
"tetA(P)","vanR_gene_in_vanB_cluster",0.705601823067078,4.31984129476607e-08
"Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin","vanR_gene_in_vanB_cluster",0.552674987970988,0.000142777954053285
"PvrR","vanR_gene_in_vanB_cluster",-0.54310830473857,0.000203441429675989
"Escherichia_coli","vanR_gene_in_vanB_cluster",-0.553357388387198,0.00013895958751111
"Blautia_obeum","vanR_gene_in_vanB_cluster",0.570702622513689,6.91147105634249e-05
"Dorea_longicatena","vanR_gene_in_vanB_cluster",0.5710825296344,6.80572248333306e-05
"Dorea_formicigenerans","vanR_gene_in_vanB_cluster",0.518564606783672,0.000479851925218034
"FASYN_ELONG_PWY","vanR_gene_in_vanB_cluster",-0.53359022714461,0.000284841513609314
"HOMOSER_METSYN_PWY","vanR_gene_in_vanB_cluster",-0.540586486946958,0.000223001318290728
"MET_SAM_PWY","vanR_gene_in_vanB_cluster",-0.523134794594562,0.000411377740076955
"METSYN_PWY","vanR_gene_in_vanB_cluster",-0.530164490264173,0.000321716149023252
"P161_PWY","vanR_gene_in_vanB_cluster",-0.500190897967664,0.000877810740003251
"P4_PWY","vanR_gene_in_vanB_cluster",-0.504954835560452,0.000752953723296189
"P461_PWY","vanR_gene_in_vanB_cluster",-0.515166339497355,0.000537441552813871
"POLYISOPRENSYN_PWY","vanR_gene_in_vanB_cluster",-0.509597003112422,0.00064364908486723
"PWY_5347","vanR_gene_in_vanB_cluster",-0.525951492126861,0.000372750943208574
"PWY_5838","vanR_gene_in_vanB_cluster",-0.537002514893615,0.000252657241626314
"PWY_5840","vanR_gene_in_vanB_cluster",-0.54249989064612,0.000207994694267264
"PWY_5850","vanR_gene_in_vanB_cluster",-0.539974550741583,0.000227756426476411
"PWY_5861","vanR_gene_in_vanB_cluster",-0.535868864014247,0.000262789064425932
"PWY_5897","vanR_gene_in_vanB_cluster",-0.537896299395409,0.000244914840097536
"PWY_5898","vanR_gene_in_vanB_cluster",-0.537896299395409,0.000244914840097536
"PWY_5899","vanR_gene_in_vanB_cluster",-0.537896299395409,0.000244914840097536
"PWY_5918","vanR_gene_in_vanB_cluster",-0.545086266374535,0.000189787697442689
"PWY_5989","vanR_gene_in_vanB_cluster",-0.513941898721458,0.000560318081366321
"PWY_6282","vanR_gene_in_vanB_cluster",-0.534064708460978,0.000280244419567803
