"source","target","weight","p"
"Ruminococcus_bromii","Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance",0.868517812426159,0
"vanV_gene_in_vanB_cluster","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",0.641383560919798,1.68062289956787e-06
"Clostridium_sp_AF34_10BH","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",-0.583648080030607,3.23810931229778e-05
"Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin","TaeA",0.502792909997396,0.00087578444314458
"tsnR","vanR_gene_in_vanB_cluster",0.577775214245222,4.24558587931399e-05
"tetA(46)","Streptomyces_venezuelae_rox",0.631742502068687,2.88076582816882e-06
"PvrR","Streptomyces_venezuelae_rox",0.65800247236405,6.31189280537467e-07
"Firmicutes_bacterium_AF16_15","Streptomyces_venezuelae_rox",-0.508904261679077,0.000702809823191887
"Lachnospiraceae_bacterium_NSJ_46","bcrC",-0.522508555753365,0.000425155182101697
"vanXY_gene_in_vanG_cluster","rphB",0.592385567227637,2.13258140154119e-05
"tetA(60)","rphB",0.598997515600459,1.55023547703165e-05
"emrY","rphB",0.587119353916788,2.75822948151854e-05
"Escherichia_coli","rphB",0.524519471507959,0.000393108624860883
"vanH_gene_in_vanP_cluster","adeI",0.533870609212842,0.000276166304584437
"tet(W/N/W)","adeI",0.503868359767074,0.000842924623743738
"tet(T)","Planobispora_rosea_EF-Tu_mutants_conferring_resistance_to_inhibitor_GE2270A",0.661325069335815,5.17417102058753e-07
"mtrC","Planobispora_rosea_EF-Tu_mutants_conferring_resistance_to_inhibitor_GE2270A",0.664856158972736,4.18022722837274e-07
"Dorea_sp_AF24_7LB","Planobispora_rosea_EF-Tu_mutants_conferring_resistance_to_inhibitor_GE2270A",0.823946251052892,2.79087614441952e-13
"Lachnospiraceae_bacterium","almE",-0.551772792949414,0.000133818027184105
"rphB","vanXY_gene_in_vanG_cluster",0.592385567227637,2.13258140154119e-05
"adeL","vanXY_gene_in_vanG_cluster",0.582946001036313,3.3455391710195e-05
"Clostridium_sp_AF34_10BH","vanXY_gene_in_vanG_cluster",-0.548821081744257,0.00015165932158567
"Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin","vanV_gene_in_vanB_cluster",0.641383560919798,1.68062289956787e-06
"Clostridium_sp_AF34_10BH","vanV_gene_in_vanB_cluster",-0.626373680298953,3.8523278927649e-06
"Roseburia_inulinivorans","vanV_gene_in_vanB_cluster",-0.510914729851386,0.000652955293365494
"Clostridioides_difficile_murG_with_mutation_conferring_resistance_to_vancomycin","OprN",0.597461218153176,1.66757787760311e-05
"GGB9760_SGB15373","OprN",-0.520458424738525,0.000457623597526362
"RanB","mtrA",0.553573513682962,0.000123837153779475
"TolC","Neisseria_gonorrhoeae_PBP1_conferring_resistance_to_beta-lactam_antibiotics",0.506307060279959,0.000772263609974919
"mtrA","RanB",0.553573513682962,0.000123837153779475
"Faecalibacterium_SGB15346","RanB",-0.521537942179612,0.000440699761268862
"tetA(60)","smeS",0.511534588942329,0.000637575284809298
"rphB","tetA(60)",0.598997515600459,1.55023547703165e-05
"smeS","tetA(60)",0.511534588942329,0.000637575284809298
"emrY","tetA(60)",0.517935095308639,0.000503206638763263
"adeI","vanH_gene_in_vanP_cluster",0.533870609212842,0.000276166304584437
"Planobispora_rosea_EF-Tu_mutants_conferring_resistance_to_inhibitor_GE2270A","tet(T)",0.661325069335815,5.17417102058753e-07
"mtrC","tet(T)",0.794665125390495,1.01289359413553e-11
"Dorea_sp_AF24_7LB","tet(T)",0.728507540955646,5.14431152482778e-09
"Lachnospira_eligens","mlaD",0.597658798594596,1.65231424484234e-05
"tsnR","Clostridioides_difficile_EF-Tu_mutants_conferring_resistance_to_elfamycin",0.572466498747754,5.42456517887314e-05
"Lachnospiraceae_bacterium_Marseille_Q4251","mecC",0.528434117462643,0.000339798121611895
"Anaerobutyricum_hallii","vanR_gene_in_vanF_cluster",0.758496123724099,3.99289229569745e-10
"IreK","Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin",0.83693619073191,4.25321878173522e-14
"patA","Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin",0.837098801767561,4.25321878173522e-14
"Catenibacterium_SGB4425","Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin",0.837603422468131,4.25321878173522e-14
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","IreK",0.83693619073191,4.25321878173522e-14
"patA","IreK",0.99789257724024,0
"Catenibacterium_SGB4425","IreK",0.887521088364549,0
"Alistipes_putredinis","rosB",-0.506579157119286,0.000764825060198874
"HISTSYN_PWY","tetB(60)",-0.502282435705325,0.000889772787291032
"PWY_6700","tetB(60)",-0.52521134669429,0.000383293602566764
"Streptomyces_venezuelae_rox","tetA(46)",0.631742502068687,2.88076582816882e-06
"tet(W/N/W)","tetA(46)",0.560561455623634,9.230692912511e-05
"Oscillibacter_sp_ER4","tetA(46)",-0.554751806261187,0.000118059658600761
"rphB","emrY",0.587119353916788,2.75822948151854e-05
"tetA(60)","emrY",0.517935095308639,0.000503206638763263
"Escherichia_coli","emrY",0.50872456254126,0.000707342779347304
"vanR_gene_in_vanB_cluster","tsnR",0.577775214245222,4.24558587931399e-05
"Clostridioides_difficile_EF-Tu_mutants_conferring_resistance_to_elfamycin","tsnR",0.572466498747754,5.42456517887314e-05
"tetA(P)","tsnR",0.542222373907259,0.000197605299455229
"Blautia_obeum","tsnR",0.514239947086922,0.000578315707908259
"tsnR","tetA(P)",0.542222373907259,0.000197605299455229
"Blautia_obeum","tetA(P)",0.523495156550191,0.000408985074008375
"OprN","Clostridioides_difficile_murG_with_mutation_conferring_resistance_to_vancomycin",0.597461218153176,1.66757787760311e-05
"adeL","Clostridioides_difficile_murG_with_mutation_conferring_resistance_to_vancomycin",0.598225878388215,1.60944007763308e-05
"lmrD","Clostridioides_difficile_murG_with_mutation_conferring_resistance_to_vancomycin",0.548489876417669,0.000153536957487598
"Lachnospiraceae_bacterium","Clostridioides_difficile_murG_with_mutation_conferring_resistance_to_vancomycin",-0.595104418020302,1.87508873724292e-05
"Faecalibacterium_SGB15346","Clostridioides_difficile_murG_with_mutation_conferring_resistance_to_vancomycin",-0.643963381885887,1.45230998633379e-06
"GGB9699_SGB15216","Clostridioides_difficile_murG_with_mutation_conferring_resistance_to_vancomycin",-0.546484923375829,0.000166439263225643
"Blautia_glucerasea","Staphylococcus_aureus_rpoB_mutants_conferring_resistance_to_rifampicin",-0.556965775302622,0.000107545931424844
"TaeA","Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin",0.502792909997396,0.00087578444314458
"Neisseria_gonorrhoeae_PBP1_conferring_resistance_to_beta-lactam_antibiotics","TolC",0.506307060279959,0.000772263609974919
"vanXY_gene_in_vanG_cluster","adeL",0.582946001036313,3.3455391710195e-05
"Clostridioides_difficile_murG_with_mutation_conferring_resistance_to_vancomycin","adeL",0.598225878388215,1.60944007763308e-05
"Streptomyces_venezuelae_rox","PvrR",0.65800247236405,6.31189280537467e-07
"Planobispora_rosea_EF-Tu_mutants_conferring_resistance_to_inhibitor_GE2270A","mtrC",0.664856158972736,4.18022722837274e-07
"tet(T)","mtrC",0.794665125390495,1.01289359413553e-11
"Dorea_sp_AF24_7LB","mtrC",0.696796062253749,5.42168218325693e-08
"adeI","tet(W/N/W)",0.503868359767074,0.000842924623743738
"tetA(46)","tet(W/N/W)",0.560561455623634,9.230692912511e-05
"Clostridiaceae_bacterium_AF18_31LB","tet(W/N/W)",-0.523433912785115,0.000409831743107329
"Clostridium_SGB4750","tet(W/N/W)",-0.511976644417587,0.000628325723325754
"tet(35)","Erm(37)",0.525403602044684,0.000380776572171793
"Erm(37)","tet(35)",0.525403602044684,0.000380776572171793
