"source","target","weight","cor_type"
"vanR_gene_in_vanB_cluster","Blautia_obeum",0.77,"positive"
"tsnR","Blautia_obeum",0.57,"positive"
"tetA(P)","Blautia_obeum",0.8,"positive"
"vanR_gene_in_vanB_cluster","Blautia_faecis",0.6,"positive"
"tetA(P)","Blautia_faecis",0.56,"positive"
"vanR_gene_in_vanB_cluster","ASPASN_PWY",0.72,"positive"
"tsnR","ASPASN_PWY",0.51,"positive"
"tetA(P)","ASPASN_PWY",0.72,"positive"
"Blautia_obeum","ASPASN_PWY",0.79,"positive"
"Blautia_faecis","ASPASN_PWY",0.7,"positive"
"Limosilactobacillus_fermentum","ASPASN_PWY",0.53,"positive"
"vanR_gene_in_vanB_cluster","GLYCOLYSIS_E_D",0.58,"positive"
"tetA(P)","GLYCOLYSIS_E_D",0.58,"positive"
"Blautia_obeum","GLYCOLYSIS_E_D",0.57,"positive"
"vanR_gene_in_vanB_cluster","P161_PWY",0.58,"positive"
"tetA(P)","P161_PWY",0.6,"positive"
"Blautia_obeum","P161_PWY",0.63,"positive"
"Blautia_faecis","P161_PWY",0.54,"positive"
"vanR_gene_in_vanB_cluster","P461_PWY",0.63,"positive"
"tetA(P)","P461_PWY",0.64,"positive"
"Blautia_obeum","P461_PWY",0.68,"positive"
"Blautia_faecis","P461_PWY",0.68,"positive"
"vanR_gene_in_vanB_cluster","PENTOSE_P_PWY",0.6,"positive"
"tetA(P)","PENTOSE_P_PWY",0.6,"positive"
"Blautia_obeum","PENTOSE_P_PWY",0.64,"positive"
"Blautia_faecis","PENTOSE_P_PWY",0.54,"positive"
"Limosilactobacillus_fermentum","PENTOSE_P_PWY",0.53,"positive"
"vanR_gene_in_vanB_cluster","PWY_5840",0.54,"positive"
"tetA(P)","PWY_5840",0.57,"positive"
"Blautia_obeum","PWY_5840",0.68,"positive"
"Blautia_faecis","PWY_5840",0.53,"positive"
"vanR_gene_in_vanB_cluster","PWY_5989",0.52,"positive"
"tetA(P)","PWY_5989",0.56,"positive"
"Blautia_obeum","PWY_5989",0.63,"positive"
"Limosilactobacillus_fermentum","PWY_5989",0.52,"positive"
"vanR_gene_in_vanB_cluster","PWY_6519",0.55,"positive"
"tetA(P)","PWY_6519",0.53,"positive"
"Blautia_obeum","PWY_6519",0.57,"positive"
"vanR_gene_in_vanB_cluster","PWY_7663",0.51,"positive"
"tetA(P)","PWY_7663",0.54,"positive"
"Blautia_obeum","PWY_7663",0.57,"positive"
"Limosilactobacillus_fermentum","PWY_7663",0.53,"positive"
"vanR_gene_in_vanB_cluster","PWY0_1297",0.56,"positive"
"tetA(P)","PWY0_1297",0.61,"positive"
"Blautia_obeum","PWY0_1297",0.73,"positive"
"Blautia_faecis","PWY0_1297",0.65,"positive"
"vanR_gene_in_vanB_cluster","PWY0_1298",0.57,"positive"
"tetA(P)","PWY0_1298",0.6,"positive"
"Blautia_obeum","PWY0_1298",0.67,"positive"
"Blautia_faecis","PWY0_1298",0.59,"positive"
"vanR_gene_in_vanB_cluster","PWY0_1477",0.64,"positive"
"tetA(P)","PWY0_1477",0.61,"positive"
"Blautia_obeum","PWY0_1477",0.58,"positive"
"Blautia_faecis","PWY0_1477",0.52,"positive"
"vanR_gene_in_vanB_cluster","PWY4FS_7",0.54,"positive"
"tetA(P)","PWY4FS_7",0.59,"positive"
"Blautia_obeum","PWY4FS_7",0.68,"positive"
"Blautia_faecis","PWY4FS_7",0.59,"positive"
"vanR_gene_in_vanB_cluster","PWY4FS_8",0.54,"positive"
"tetA(P)","PWY4FS_8",0.59,"positive"
"Blautia_obeum","PWY4FS_8",0.68,"positive"
"Blautia_faecis","PWY4FS_8",0.59,"positive"
"vanR_gene_in_vanB_cluster","PWY66_409",0.61,"positive"
"tetA(P)","PWY66_409",0.64,"positive"
"Blautia_obeum","PWY66_409",0.73,"positive"
"Blautia_faecis","PWY66_409",0.67,"positive"
"Limosilactobacillus_fermentum","PWY66_409",0.51,"positive"
"vanR_gene_in_vanB_cluster","PYRIDNUCSAL_PWY",0.61,"positive"
"tetA(P)","PYRIDNUCSAL_PWY",0.59,"positive"
"Blautia_obeum","PYRIDNUCSAL_PWY",0.6,"positive"
"Limosilactobacillus_fermentum","PYRIDNUCSAL_PWY",0.57,"positive"
"vanR_gene_in_vanB_cluster","ANAGLYCOLYSIS_PWY",0.72,"positive"
"tsnR","ANAGLYCOLYSIS_PWY",0.52,"positive"
"tetA(P)","ANAGLYCOLYSIS_PWY",0.72,"positive"
"Blautia_obeum","ANAGLYCOLYSIS_PWY",0.78,"positive"
"Blautia_faecis","ANAGLYCOLYSIS_PWY",0.69,"positive"
"Limosilactobacillus_fermentum","ANAGLYCOLYSIS_PWY",0.52,"positive"
