"Label","type","CD_Status","Polygon","ID","Color"
"Alistipes_putredinis","Species","CD_depleted",4,"Alistipes_putredinis","#90a5a7"
"Anaerobutyricum_hallii","Species","CD_depleted",4,"Anaerobutyricum_hallii","#90a5a7"
"Anaerobutyricum_soehngenii","Species","CD_depleted",4,"Anaerobutyricum_soehngenii","#90a5a7"
"ANAGLYCOLYSIS_PWY","Pathway","CD_depleted",3,"ANAGLYCOLYSIS_PWY","#90a5a7"
"ARGSYNBSUB_PWY","Pathway","CD_depleted",3,"ARGSYNBSUB_PWY","#90a5a7"
"arlR","Gene","CD_enriched",1,"arlR","#ab6355"
"ARO_PWY","Pathway","CD_depleted",3,"ARO_PWY","#90a5a7"
"ASPASN_PWY","Pathway","CD_enriched",3,"ASPASN_PWY","#ab6355"
"Blautia_faecis","Species","CD_depleted",4,"Blautia_faecis","#90a5a7"
"Blautia_glucerasea","Species","CD_depleted",4,"Blautia_glucerasea","#90a5a7"
"Blautia_obeum","Species","CD_depleted",4,"Blautia_obeum","#90a5a7"
"Blautia_SGB4815","Species","CD_depleted",4,"Blautia_SGB4815","#90a5a7"
"Blautia_sp_Marseille_P3087","Species","CD_depleted",4,"Blautia_sp_Marseille_P3087","#90a5a7"
"Candidatus_Cibionibacter_quicibialis","Species","CD_depleted",4,"Candidatus_Cibionibacter_quicibialis","#90a5a7"
"Clostridiaceae_bacterium","Species","CD_depleted",4,"Clostridiaceae_bacterium","#90a5a7"
"Clostridiales_bacterium_KLE1615","Species","CD_depleted",4,"Clostridiales_bacterium_KLE1615","#90a5a7"
"Clostridioides_difficile_EF-Tu_mutants_conferring_resistance_to_elfamycin","Gene","CD_depleted",1,"Clostridioides_difficile_EF-Tu_mutants_conferring_resistance_to_elfamycin","#90a5a7"
"Clostridium_leptum","Species","CD_depleted",4,"Clostridium_leptum","#90a5a7"
"COA_PWY","Pathway","CD_depleted",3,"COA_PWY","#90a5a7"
"COA_PWY_1","Pathway","CD_depleted",3,"COA_PWY_1","#90a5a7"
"COMPLETE_ARO_PWY","Pathway","CD_depleted",3,"COMPLETE_ARO_PWY","#90a5a7"
"Coprococcus_catus","Species","CD_depleted",4,"Coprococcus_catus","#90a5a7"
"Dorea_formicigenerans","Species","CD_depleted",4,"Dorea_formicigenerans","#90a5a7"
"Dorea_sp_AF36_15AT","Species","CD_depleted",4,"Dorea_sp_AF36_15AT","#90a5a7"
"DTDPRHAMSYN_PWY","Pathway","CD_depleted",3,"DTDPRHAMSYN_PWY","#90a5a7"
"emrY","Gene","CD_enriched",1,"emrY","#ab6355"
"Enterobacter_cloacae_acrA","Gene","CD_enriched",1,"Enterobacter_cloacae_acrA","#ab6355"
"Escherichia_coli","Species","CD_enriched",4,"Escherichia_coli","#ab6355"
"Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin","Gene","CD_enriched",1,"Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin","#ab6355"
"Faecalibacterium_prausnitzii","Species","CD_depleted",4,"Faecalibacterium_prausnitzii","#90a5a7"
"Faecalibacterium_SGB15346","Species","CD_depleted",4,"Faecalibacterium_SGB15346","#90a5a7"
"Faecalicatena_fissicatena","Species","CD_depleted",4,"Faecalicatena_fissicatena","#90a5a7"
"FASYN_ELONG_PWY","Pathway","CD_enriched",3,"FASYN_ELONG_PWY","#ab6355"
"Firmicutes_bacterium_AF16_15","Species","CD_depleted",4,"Firmicutes_bacterium_AF16_15","#90a5a7"
"Gemmiger_formicilis","Species","CD_depleted",4,"Gemmiger_formicilis","#90a5a7"
"GGB79734_SGB15291","Species","CD_depleted",4,"GGB79734_SGB15291","#90a5a7"
"GLYCOGENSYNTH_PWY","Pathway","CD_depleted",3,"GLYCOGENSYNTH_PWY","#90a5a7"
"GLYCOLYSIS_E_D","Pathway","CD_enriched",3,"GLYCOLYSIS_E_D","#ab6355"
"HISTSYN_PWY","Pathway","CD_depleted",3,"HISTSYN_PWY","#90a5a7"
"HOMOSER_METSYN_PWY","Pathway","CD_enriched",3,"HOMOSER_METSYN_PWY","#ab6355"
"Klebsiella_pneumoniae_KpnH","Gene","CD_enriched",1,"Klebsiella_pneumoniae_KpnH","#ab6355"
"Lachnospiraceae_bacterium","Species","CD_depleted",4,"Lachnospiraceae_bacterium","#90a5a7"
"Lachnospiraceae_bacterium_Marseille_Q4251","Species","CD_depleted",4,"Lachnospiraceae_bacterium_Marseille_Q4251","#90a5a7"
"lmrD","Gene","CD_enriched",1,"lmrD","#ab6355"
"LpxA","Gene","CD_enriched",1,"LpxA","#ab6355"
"macB","Gene","CD_depleted",1,"macB","#90a5a7"
"MET_SAM_PWY","Pathway","CD_enriched",3,"MET_SAM_PWY","#ab6355"
"METSYN_PWY","Pathway","CD_enriched",3,"METSYN_PWY","#ab6355"
"mtrA","Gene","CD_enriched",1,"mtrA","#ab6355"
"NONMEVIPP_PWY","Pathway","CD_depleted",3,"NONMEVIPP_PWY","#90a5a7"
"Oscillibacter_sp_ER4","Species","CD_depleted",4,"Oscillibacter_sp_ER4","#90a5a7"
"P161_PWY","Pathway","CD_enriched",3,"P161_PWY","#ab6355"
"P4_PWY","Pathway","CD_enriched",3,"P4_PWY","#ab6355"
"P461_PWY","Pathway","CD_enriched",3,"P461_PWY","#ab6355"
"PANTO_PWY","Pathway","CD_depleted",3,"PANTO_PWY","#90a5a7"
"PANTOSYN_PWY","Pathway","CD_depleted",3,"PANTOSYN_PWY","#90a5a7"
"PENTOSE_P_PWY","Pathway","CD_enriched",3,"PENTOSE_P_PWY","#ab6355"
"PEPTIDOGLYCANSYN_PWY","Pathway","CD_depleted",3,"PEPTIDOGLYCANSYN_PWY","#90a5a7"
"POLYISOPRENSYN_PWY","Pathway","CD_enriched",3,"POLYISOPRENSYN_PWY","#ab6355"
"Pseudomonas_aeruginosa_CpxR","Gene","CD_enriched",1,"Pseudomonas_aeruginosa_CpxR","#ab6355"
"PWY_3841","Pathway","CD_depleted",3,"PWY_3841","#90a5a7"
"PWY_5097","Pathway","CD_depleted",3,"PWY_5097","#90a5a7"
"PWY_5347","Pathway","CD_enriched",3,"PWY_5347","#ab6355"
"PWY_5686","Pathway","CD_depleted",3,"PWY_5686","#90a5a7"
