"Label","type","CD_Status","Polygon","ID","Color"
"Agathobaculum_butyriciproducens","Species","CD_depleted",4,"Agathobaculum_butyriciproducens","#90a5a7"
"ANAGLYCOLYSIS_PWY","Pathway","CD_depleted",3,"ANAGLYCOLYSIS_PWY","#90a5a7"
"ARGSYNBSUB_PWY","Pathway","CD_depleted",3,"ARGSYNBSUB_PWY","#90a5a7"
"ARO_PWY","Pathway","CD_depleted",3,"ARO_PWY","#90a5a7"
"ASPASN_PWY","Pathway","CD_enriched",3,"ASPASN_PWY","#ab6355"
"Blautia_faecis","Species","CD_depleted",4,"Blautia_faecis","#90a5a7"
"Blautia_luti","Species","CD_depleted",4,"Blautia_luti","#90a5a7"
"Blautia_obeum","Species","CD_depleted",4,"Blautia_obeum","#90a5a7"
"Clostridiaceae_bacterium","Species","CD_depleted",4,"Clostridiaceae_bacterium","#90a5a7"
"Clostridiaceae_bacterium_AF18_31LB","Species","CD_depleted",4,"Clostridiaceae_bacterium_AF18_31LB","#90a5a7"
"COA_PWY","Pathway","CD_depleted",3,"COA_PWY","#90a5a7"
"COA_PWY_1","Pathway","CD_depleted",3,"COA_PWY_1","#90a5a7"
"COMPLETE_ARO_PWY","Pathway","CD_depleted",3,"COMPLETE_ARO_PWY","#90a5a7"
"Coprococcus_eutactus","Species","CD_depleted",4,"Coprococcus_eutactus","#90a5a7"
"DTDPRHAMSYN_PWY","Pathway","CD_depleted",3,"DTDPRHAMSYN_PWY","#90a5a7"
"Dysosmobacter_welbionis","Species","CD_depleted",4,"Dysosmobacter_welbionis","#90a5a7"
"Fusicatenibacter_saccharivorans","Species","CD_depleted",4,"Fusicatenibacter_saccharivorans","#90a5a7"
"GGB9758_SGB15368","Species","CD_depleted",4,"GGB9758_SGB15368","#90a5a7"
"GLYCOGENSYNTH_PWY","Pathway","CD_depleted",3,"GLYCOGENSYNTH_PWY","#90a5a7"
"GLYCOLYSIS_E_D","Pathway","CD_enriched",3,"GLYCOLYSIS_E_D","#ab6355"
"HISTSYN_PWY","Pathway","CD_depleted",3,"HISTSYN_PWY","#90a5a7"
"HOMOSER_METSYN_PWY","Pathway","CD_enriched",3,"HOMOSER_METSYN_PWY","#ab6355"
"MET_SAM_PWY","Pathway","CD_enriched",3,"MET_SAM_PWY","#ab6355"
"METSYN_PWY","Pathway","CD_enriched",3,"METSYN_PWY","#ab6355"
"NONMEVIPP_PWY","Pathway","CD_depleted",3,"NONMEVIPP_PWY","#90a5a7"
"Oscillibacter_sp_ER4","Species","CD_depleted",4,"Oscillibacter_sp_ER4","#90a5a7"
"Oscillospiraceae_bacterium_Marseille_Q3528","Species","CD_depleted",4,"Oscillospiraceae_bacterium_Marseille_Q3528","#90a5a7"
"P161_PWY","Pathway","CD_enriched",3,"P161_PWY","#ab6355"
"P4_PWY","Pathway","CD_enriched",3,"P4_PWY","#ab6355"
"P461_PWY","Pathway","CD_enriched",3,"P461_PWY","#ab6355"
"PANTO_PWY","Pathway","CD_depleted",3,"PANTO_PWY","#90a5a7"
"PANTOSYN_PWY","Pathway","CD_depleted",3,"PANTOSYN_PWY","#90a5a7"
"PENTOSE_P_PWY","Pathway","CD_enriched",3,"PENTOSE_P_PWY","#ab6355"
"PEPTIDOGLYCANSYN_PWY","Pathway","CD_depleted",3,"PEPTIDOGLYCANSYN_PWY","#90a5a7"
"PWY_3841","Pathway","CD_depleted",3,"PWY_3841","#90a5a7"
"PWY_5097","Pathway","CD_depleted",3,"PWY_5097","#90a5a7"
"PWY_5347","Pathway","CD_enriched",3,"PWY_5347","#ab6355"
"PWY_5686","Pathway","CD_depleted",3,"PWY_5686","#90a5a7"
"PWY_5838","Pathway","CD_enriched",3,"PWY_5838","#ab6355"
"PWY_5850","Pathway","CD_enriched",3,"PWY_5850","#ab6355"
"PWY_5861","Pathway","CD_enriched",3,"PWY_5861","#ab6355"
"PWY_5897","Pathway","CD_enriched",3,"PWY_5897","#ab6355"
"PWY_5898","Pathway","CD_enriched",3,"PWY_5898","#ab6355"
"PWY_5899","Pathway","CD_enriched",3,"PWY_5899","#ab6355"
"PWY_5918","Pathway","CD_enriched",3,"PWY_5918","#ab6355"
"PWY_6147","Pathway","CD_enriched",3,"PWY_6147","#ab6355"
"PWY_6151","Pathway","CD_depleted",3,"PWY_6151","#90a5a7"
"PWY_6163","Pathway","CD_depleted",3,"PWY_6163","#90a5a7"
"PWY_6285","Pathway","CD_enriched",3,"PWY_6285","#ab6355"
"PWY_6385","Pathway","CD_depleted",3,"PWY_6385","#90a5a7"
"PWY_6386","Pathway","CD_depleted",3,"PWY_6386","#90a5a7"
"PWY_6387","Pathway","CD_depleted",3,"PWY_6387","#90a5a7"
"PWY_6470","Pathway","CD_depleted",3,"PWY_6470","#90a5a7"
"PWY_6700","Pathway","CD_depleted",3,"PWY_6700","#90a5a7"
"PWY_6961","Pathway","CD_enriched",3,"PWY_6961","#ab6355"
"PWY_7238","Pathway","CD_depleted",3,"PWY_7238","#90a5a7"
"PWY_7663","Pathway","CD_enriched",3,"PWY_7663","#ab6355"
"PWY_7790","Pathway","CD_depleted",3,"PWY_7790","#90a5a7"
"PWY_7791","Pathway","CD_depleted",3,"PWY_7791","#90a5a7"
"PWY_7851","Pathway","CD_depleted",3,"PWY_7851","#90a5a7"
"PWY0_1297","Pathway","CD_enriched",3,"PWY0_1297","#ab6355"
"PWY0_1298","Pathway","CD_enriched",3,"PWY0_1298","#ab6355"
"PWY0_1477","Pathway","CD_enriched",3,"PWY0_1477","#ab6355"
"PWY0_301","Pathway","CD_enriched",3,"PWY0_301","#ab6355"
