"source","target","weight","cor_type"
"Blautia_obeum","ASPASN_PWY",0.59,"positive"
"Fusicatenibacter_saccharivorans","ASPASN_PWY",0.62,"positive"
"Clostridiaceae_bacterium","ASPASN_PWY",0.61,"positive"
"Blautia_faecis","ASPASN_PWY",0.68,"positive"
"Agathobaculum_butyriciproducens","ASPASN_PWY",0.65,"positive"
"GGB9758_SGB15368","GLYCOLYSIS_E_D",0.5,"negative"
"Clostridiaceae_bacterium_AF18_31LB","GLYCOLYSIS_E_D",0.51,"positive"
"Fusicatenibacter_saccharivorans","GLYCOLYSIS_E_D",0.5,"positive"
"Clostridiaceae_bacterium","GLYCOLYSIS_E_D",0.56,"positive"
"Blautia_faecis","GLYCOLYSIS_E_D",0.52,"positive"
"Agathobaculum_butyriciproducens","GLYCOLYSIS_E_D",0.63,"positive"
"Coprococcus_eutactus","HOMOSER_METSYN_PWY",0.55,"negative"
"Oscillibacter_sp_ER4","HOMOSER_METSYN_PWY",0.56,"negative"
"GGB9758_SGB15368","HOMOSER_METSYN_PWY",0.64,"negative"
"Blautia_obeum","HOMOSER_METSYN_PWY",0.52,"positive"
"Ruminococcus_torques","HOMOSER_METSYN_PWY",0.52,"positive"
"Coprococcus_eutactus","MET_SAM_PWY",0.55,"negative"
"Oscillibacter_sp_ER4","MET_SAM_PWY",0.55,"negative"
"GGB9758_SGB15368","MET_SAM_PWY",0.63,"negative"
"Blautia_obeum","MET_SAM_PWY",0.51,"positive"
"Ruminococcus_torques","MET_SAM_PWY",0.51,"positive"
"Coprococcus_eutactus","METSYN_PWY",0.55,"negative"
"Oscillibacter_sp_ER4","METSYN_PWY",0.56,"negative"
"GGB9758_SGB15368","METSYN_PWY",0.63,"negative"
"Blautia_obeum","METSYN_PWY",0.51,"positive"
"Ruminococcus_torques","METSYN_PWY",0.51,"positive"
"Oscillospiraceae_bacterium_Marseille_Q3528","P161_PWY",0.52,"negative"
"GGB9758_SGB15368","P161_PWY",0.52,"negative"
"Blautia_obeum","P161_PWY",0.52,"positive"
"Agathobaculum_butyriciproducens","P161_PWY",0.51,"positive"
"Ruminococcus_torques","P161_PWY",0.58,"positive"
"Coprococcus_eutactus","P4_PWY",0.6,"negative"
"Oscillibacter_sp_ER4","P4_PWY",0.57,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","P4_PWY",0.51,"negative"
"GGB9758_SGB15368","P4_PWY",0.64,"negative"
"Blautia_obeum","P4_PWY",0.58,"positive"
"Blautia_luti","P4_PWY",0.56,"negative"
"Fusicatenibacter_saccharivorans","P4_PWY",0.5,"positive"
"Ruminococcus_torques","P4_PWY",0.55,"positive"
"Oscillibacter_sp_ER4","P461_PWY",0.53,"negative"
"GGB9758_SGB15368","P461_PWY",0.58,"negative"
"Blautia_obeum","P461_PWY",0.67,"positive"
"Fusicatenibacter_saccharivorans","P461_PWY",0.64,"positive"
"Blautia_faecis","P461_PWY",0.67,"positive"
"Agathobaculum_butyriciproducens","P461_PWY",0.61,"positive"
"Ruminococcus_torques","P461_PWY",0.6,"positive"
"GGB9758_SGB15368","PENTOSE_P_PWY",0.54,"negative"
"Fusicatenibacter_saccharivorans","PENTOSE_P_PWY",0.58,"positive"
"Blautia_faecis","PENTOSE_P_PWY",0.54,"positive"
"Agathobaculum_butyriciproducens","PENTOSE_P_PWY",0.59,"positive"
"Coprococcus_eutactus","PWY_5347",0.55,"negative"
"Oscillibacter_sp_ER4","PWY_5347",0.55,"negative"
"GGB9758_SGB15368","PWY_5347",0.63,"negative"
"Blautia_obeum","PWY_5347",0.51,"positive"
"Ruminococcus_torques","PWY_5347",0.51,"positive"
"Coprococcus_eutactus","PWY_5838",0.5,"negative"
"GGB9758_SGB15368","PWY_5838",0.57,"negative"
"Ruminococcus_torques","PWY_5838",0.51,"positive"
"Coprococcus_eutactus","PWY_5850",0.57,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_5850",0.55,"negative"
"GGB9758_SGB15368","PWY_5850",0.51,"negative"
"Coprococcus_eutactus","PWY_5861",0.52,"negative"
"GGB9758_SGB15368","PWY_5861",0.59,"negative"
"Blautia_obeum","PWY_5861",0.5,"positive"
"Ruminococcus_torques","PWY_5861",0.53,"positive"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_5897",0.5,"negative"
"GGB9758_SGB15368","PWY_5897",0.57,"negative"
"Blautia_obeum","PWY_5897",0.52,"positive"
"Agathobaculum_butyriciproducens","PWY_5897",0.52,"positive"
"Ruminococcus_torques","PWY_5897",0.54,"positive"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_5898",0.5,"negative"
"GGB9758_SGB15368","PWY_5898",0.57,"negative"
"Blautia_obeum","PWY_5898",0.52,"positive"
"Agathobaculum_butyriciproducens","PWY_5898",0.52,"positive"
"Ruminococcus_torques","PWY_5898",0.54,"positive"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_5899",0.5,"negative"
