"source","target","weight","cor_type"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","Catenibacterium_SGB4425",0.96,"positive"
"IreK","Catenibacterium_SGB4425",0.97,"positive"
"patA","Catenibacterium_SGB4425",0.95,"positive"
"bcr-1","ASPASN_PWY",0.51,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","ASPASN_PWY",0.51,"negative"
"IreK","ASPASN_PWY",0.53,"negative"
"patA","ASPASN_PWY",0.51,"negative"
"Fusobacterium_nucleatum","ASPASN_PWY",0.55,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","GLYCOLYSIS_E_D",0.53,"negative"
"IreK","GLYCOLYSIS_E_D",0.54,"negative"
"patA","GLYCOLYSIS_E_D",0.53,"negative"
"Fusobacterium_nucleatum","GLYCOLYSIS_E_D",0.53,"positive"
"Collinsella_SGB14861","PWY_5838",0.52,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_5838",0.51,"negative"
"Fusobacterium_nucleatum","PWY_5838",0.55,"positive"
"Collinsella_SGB14861","PWY_5861",0.51,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_5861",0.52,"negative"
"Fusobacterium_nucleatum","PWY_5861",0.57,"positive"
"Collinsella_SGB14861","PWY_5897",0.51,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_5897",0.5,"negative"
"Fusobacterium_nucleatum","PWY_5897",0.56,"positive"
"Collinsella_SGB14861","PWY_5898",0.51,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_5898",0.5,"negative"
"Fusobacterium_nucleatum","PWY_5898",0.56,"positive"
"Collinsella_SGB14861","PWY_5899",0.51,"negative"
"Oscillospiraceae_bacterium_Marseille_Q3528","PWY_5899",0.5,"negative"
"Fusobacterium_nucleatum","PWY_5899",0.56,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PWY4FS_7",0.59,"negative"
"IreK","PWY4FS_7",0.6,"negative"
"patA","PWY4FS_7",0.59,"negative"
"Catenibacterium_SGB4425","PWY4FS_7",0.54,"negative"
"Fusobacterium_nucleatum","PWY4FS_7",0.58,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PWY4FS_8",0.59,"negative"
"IreK","PWY4FS_8",0.6,"negative"
"patA","PWY4FS_8",0.59,"negative"
"Catenibacterium_SGB4425","PWY4FS_8",0.54,"negative"
"Fusobacterium_nucleatum","PWY4FS_8",0.58,"positive"
"bcr-1","ANAGLYCOLYSIS_PWY",0.5,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","ANAGLYCOLYSIS_PWY",0.5,"negative"
"IreK","ANAGLYCOLYSIS_PWY",0.51,"negative"
"TolC","ANAGLYCOLYSIS_PWY",0.51,"positive"
"patA","ANAGLYCOLYSIS_PWY",0.51,"negative"
"Fusobacterium_nucleatum","ANAGLYCOLYSIS_PWY",0.53,"positive"
"bcr-1","ARO_PWY",0.5,"positive"
"TolC","ARO_PWY",0.51,"positive"
"Fusobacterium_nucleatum","ARO_PWY",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","COA_PWY",0.51,"negative"
"IreK","COA_PWY",0.51,"negative"
"TolC","COA_PWY",0.51,"positive"
"patA","COA_PWY",0.51,"negative"
"Fusobacterium_nucleatum","COA_PWY",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","COA_PWY_1",0.5,"negative"
"IreK","COA_PWY_1",0.51,"negative"
"patA","COA_PWY_1",0.51,"negative"
"Fusobacterium_nucleatum","COA_PWY_1",0.53,"positive"
"bcr-1","COMPLETE_ARO_PWY",0.5,"positive"
"TolC","COMPLETE_ARO_PWY",0.51,"positive"
"Fusobacterium_nucleatum","COMPLETE_ARO_PWY",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","DTDPRHAMSYN_PWY",0.51,"negative"
"IreK","DTDPRHAMSYN_PWY",0.51,"negative"
"TolC","DTDPRHAMSYN_PWY",0.51,"positive"
"patA","DTDPRHAMSYN_PWY",0.52,"negative"
"Fusobacterium_nucleatum","DTDPRHAMSYN_PWY",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","NONMEVIPP_PWY",0.51,"negative"
"IreK","NONMEVIPP_PWY",0.52,"negative"
"patA","NONMEVIPP_PWY",0.52,"negative"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PANTO_PWY",0.5,"negative"
"IreK","PANTO_PWY",0.51,"negative"
"TolC","PANTO_PWY",0.52,"positive"
"Fusobacterium_nucleatum","PANTO_PWY",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PANTOSYN_PWY",0.51,"negative"
"IreK","PANTOSYN_PWY",0.52,"negative"
"TolC","PANTOSYN_PWY",0.51,"positive"
"patA","PANTOSYN_PWY",0.51,"negative"
"Fusobacterium_nucleatum","PANTOSYN_PWY",0.53,"positive"
"IreK","PEPTIDOGLYCANSYN_PWY",0.5,"negative"
"TolC","PEPTIDOGLYCANSYN_PWY",0.5,"positive"
"patA","PEPTIDOGLYCANSYN_PWY",0.51,"negative"
"Fusobacterium_nucleatum","PEPTIDOGLYCANSYN_PWY",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PWY_3841",0.51,"negative"
"IreK","PWY_3841",0.51,"negative"
"patA","PWY_3841",0.51,"negative"
"Fusobacterium_nucleatum","PWY_3841",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PWY_5686",0.51,"negative"
"IreK","PWY_5686",0.51,"negative"
"TolC","PWY_5686",0.5,"positive"
"patA","PWY_5686",0.52,"negative"
"Fusobacterium_nucleatum","PWY_5686",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PWY_6385",0.51,"negative"
"IreK","PWY_6385",0.51,"negative"
"TolC","PWY_6385",0.51,"positive"
"patA","PWY_6385",0.51,"negative"
"Fusobacterium_nucleatum","PWY_6385",0.53,"positive"
"IreK","PWY_6386",0.5,"negative"
"TolC","PWY_6386",0.5,"positive"
"patA","PWY_6386",0.51,"negative"
"Fusobacterium_nucleatum","PWY_6386",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PWY_6387",0.5,"negative"
"IreK","PWY_6387",0.5,"negative"
"TolC","PWY_6387",0.5,"positive"
"patA","PWY_6387",0.51,"negative"
"Fusobacterium_nucleatum","PWY_6387",0.53,"positive"
"IreK","PWY_6700",0.5,"negative"
"TolC","PWY_6700",0.51,"positive"
"patA","PWY_6700",0.5,"negative"
"Fusobacterium_nucleatum","PWY_6700",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PWY_7238",0.5,"negative"
"IreK","PWY_7238",0.51,"negative"
"patA","PWY_7238",0.51,"negative"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PWY_7790",0.51,"negative"
"IreK","PWY_7790",0.51,"negative"
"TolC","PWY_7790",0.5,"positive"
"patA","PWY_7790",0.52,"negative"
"Fusobacterium_nucleatum","PWY_7790",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PWY_7791",0.51,"negative"
"IreK","PWY_7791",0.51,"negative"
"TolC","PWY_7791",0.5,"positive"
"patA","PWY_7791",0.52,"negative"
"Fusobacterium_nucleatum","PWY_7791",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","PWY_7851",0.5,"negative"
"IreK","PWY_7851",0.51,"negative"
"patA","PWY_7851",0.51,"negative"
"Fusobacterium_nucleatum","PWY_7851",0.53,"positive"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","THISYNARA_PWY",0.54,"negative"
"IreK","THISYNARA_PWY",0.57,"negative"
"patA","THISYNARA_PWY",0.55,"negative"
"Catenibacterium_SGB4425","THISYNARA_PWY",0.51,"negative"
