"Label","type","CD_Status","Polygon","ID","Color"
"adeI","Gene","CD_enriched",1,"adeI","#ab6355"
"Adlercreutzia_equolifaciens","Species","CD_depleted",4,"Adlercreutzia_equolifaciens","#90a5a7"
"almE","Gene","CD_enriched",1,"almE","#ab6355"
"Anaerobutyricum_hallii","Species","CD_depleted",4,"Anaerobutyricum_hallii","#90a5a7"
"Anaerobutyricum_soehngenii","Species","CD_depleted",4,"Anaerobutyricum_soehngenii","#90a5a7"
"ANAGLYCOLYSIS_PWY","Pathway","CD_depleted",3,"ANAGLYCOLYSIS_PWY","#90a5a7"
"ARGSYNBSUB_PWY","Pathway","CD_depleted",3,"ARGSYNBSUB_PWY","#90a5a7"
"arlS","Gene","CD_enriched",1,"arlS","#ab6355"
"ARO_PWY","Pathway","CD_depleted",3,"ARO_PWY","#90a5a7"
"ASPASN_PWY","Pathway","CD_enriched",3,"ASPASN_PWY","#ab6355"
"Blautia_massiliensis","Species","CD_depleted",4,"Blautia_massiliensis","#90a5a7"
"Blautia_obeum","Species","CD_depleted",4,"Blautia_obeum","#90a5a7"
"Blautia_SGB4815","Species","CD_depleted",4,"Blautia_SGB4815","#90a5a7"
"Blautia_sp_Marseille_P3087","Species","CD_depleted",4,"Blautia_sp_Marseille_P3087","#90a5a7"
"Candidatus_Cibionibacter_quicibialis","Species","CD_depleted",4,"Candidatus_Cibionibacter_quicibialis","#90a5a7"
"Clostridium_leptum","Species","CD_depleted",4,"Clostridium_leptum","#90a5a7"
"COA_PWY","Pathway","CD_depleted",3,"COA_PWY","#90a5a7"
"COA_PWY_1","Pathway","CD_depleted",3,"COA_PWY_1","#90a5a7"
"Collinsella_aerofaciens","Species","CD_depleted",4,"Collinsella_aerofaciens","#90a5a7"
"COMPLETE_ARO_PWY","Pathway","CD_depleted",3,"COMPLETE_ARO_PWY","#90a5a7"
"Coprococcus_catus","Species","CD_depleted",4,"Coprococcus_catus","#90a5a7"
"Coprococcus_comes","Species","CD_depleted",4,"Coprococcus_comes","#90a5a7"
"Dorea_formicigenerans","Species","CD_depleted",4,"Dorea_formicigenerans","#90a5a7"
"Dorea_longicatena","Species","CD_depleted",4,"Dorea_longicatena","#90a5a7"
"Dorea_sp_AF36_15AT","Species","CD_depleted",4,"Dorea_sp_AF36_15AT","#90a5a7"
"DTDPRHAMSYN_PWY","Pathway","CD_depleted",3,"DTDPRHAMSYN_PWY","#90a5a7"
"Enterococcus_faecium","Species","CD_enriched",4,"Enterococcus_faecium","#ab6355"
"Escherichia_coli","Species","CD_enriched",4,"Escherichia_coli","#ab6355"
"Eubacteriaceae_bacterium","Species","CD_depleted",4,"Eubacteriaceae_bacterium","#90a5a7"
"Eubacterium_rectale","Species","CD_depleted",4,"Eubacterium_rectale","#90a5a7"
"Faecalibacterium_prausnitzii","Species","CD_depleted",4,"Faecalibacterium_prausnitzii","#90a5a7"
"Faecalibacterium_SGB15346","Species","CD_depleted",4,"Faecalibacterium_SGB15346","#90a5a7"
"FASYN_ELONG_PWY","Pathway","CD_enriched",3,"FASYN_ELONG_PWY","#ab6355"
"Firmicutes_bacterium_AF16_15","Species","CD_depleted",4,"Firmicutes_bacterium_AF16_15","#90a5a7"
"Fusicatenibacter_saccharivorans","Species","CD_depleted",4,"Fusicatenibacter_saccharivorans","#90a5a7"
"Fusobacterium_nucleatum","Species","CD_enriched",4,"Fusobacterium_nucleatum","#ab6355"
"Gemmiger_formicilis","Species","CD_depleted",4,"Gemmiger_formicilis","#90a5a7"
"GGB79734_SGB15291","Species","CD_depleted",4,"GGB79734_SGB15291","#90a5a7"
"GGB9760_SGB15373","Species","CD_depleted",4,"GGB9760_SGB15373","#90a5a7"
"GLYCOGENSYNTH_PWY","Pathway","CD_depleted",3,"GLYCOGENSYNTH_PWY","#90a5a7"
"GLYCOLYSIS_E_D","Pathway","CD_enriched",3,"GLYCOLYSIS_E_D","#ab6355"
"HISTSYN_PWY","Pathway","CD_depleted",3,"HISTSYN_PWY","#90a5a7"
"HOMOSER_METSYN_PWY","Pathway","CD_enriched",3,"HOMOSER_METSYN_PWY","#ab6355"
"Klebsiella_pneumoniae_KpnH","Gene","CD_enriched",1,"Klebsiella_pneumoniae_KpnH","#ab6355"
"Lachnospira_eligens","Species","CD_depleted",4,"Lachnospira_eligens","#90a5a7"
"Lachnospiraceae_bacterium","Species","CD_depleted",4,"Lachnospiraceae_bacterium","#90a5a7"
"Lachnospiraceae_bacterium_NSJ_29","Species","CD_depleted",4,"Lachnospiraceae_bacterium_NSJ_29","#90a5a7"
"LpxA","Gene","CD_enriched",1,"LpxA","#ab6355"
"MET_SAM_PWY","Pathway","CD_enriched",3,"MET_SAM_PWY","#ab6355"
"METSYN_PWY","Pathway","CD_enriched",3,"METSYN_PWY","#ab6355"
"Mogibacterium_sp_NSJ_24","Species","CD_depleted",4,"Mogibacterium_sp_NSJ_24","#90a5a7"
"NONMEVIPP_PWY","Pathway","CD_depleted",3,"NONMEVIPP_PWY","#90a5a7"
"P161_PWY","Pathway","CD_enriched",3,"P161_PWY","#ab6355"
"P4_PWY","Pathway","CD_enriched",3,"P4_PWY","#ab6355"
"P461_PWY","Pathway","CD_enriched",3,"P461_PWY","#ab6355"
"PANTO_PWY","Pathway","CD_depleted",3,"PANTO_PWY","#90a5a7"
"PANTOSYN_PWY","Pathway","CD_depleted",3,"PANTOSYN_PWY","#90a5a7"
"PENTOSE_P_PWY","Pathway","CD_enriched",3,"PENTOSE_P_PWY","#ab6355"
