"source","target","weight","cor_type"
"TaeA","Escherichia_coli",0.55,"negative"
"TaeA","Blautia_obeum",0.54,"positive"
"TaeA","Dorea_longicatena",0.55,"positive"
"TaeA","Coprococcus_comes",0.55,"positive"
"TaeA","ASPASN_PWY",0.58,"negative"
"TaeA","FASYN_ELONG_PWY",0.63,"negative"
"TaeA","GLYCOLYSIS_E_D",0.6,"negative"
"TaeA","HOMOSER_METSYN_PWY",0.62,"negative"
"TaeA","MET_SAM_PWY",0.61,"negative"
"TaeA","METSYN_PWY",0.61,"negative"
"TaeA","P161_PWY",0.61,"negative"
"TaeA","P4_PWY",0.6,"negative"
"TaeA","P461_PWY",0.62,"negative"
"TaeA","PENTOSE_P_PWY",0.59,"negative"
"TaeA","POLYISOPRENSYN_PWY",0.58,"negative"
"TaeA","PWY_5347",0.61,"negative"
"TaeA","PWY_5838",0.62,"negative"
"TaeA","PWY_5840",0.63,"negative"
"TaeA","PWY_5850",0.62,"negative"
"TaeA","PWY_5861",0.61,"negative"
"TaeA","PWY_5897",0.62,"negative"
"TaeA","PWY_5898",0.62,"negative"
"TaeA","PWY_5899",0.62,"negative"
"TaeA","PWY_5918",0.61,"negative"
"TaeA","PWY_5989",0.61,"negative"
"TaeA","PWY_6147",0.59,"negative"
"TaeA","PWY_6282",0.63,"negative"
"TaeA","PWY_6285",0.61,"negative"
"TaeA","PWY_6519",0.61,"negative"
"TaeA","PWY_6961",0.58,"negative"
"TaeA","PWY_7663",0.62,"negative"
"TaeA","PWY_7664",0.63,"negative"
"TaeA","PWY0_1297",0.58,"negative"
"TaeA","PWY0_1298",0.59,"negative"
"TaeA","PWY0_1477",0.6,"negative"
"TaeA","PWY0_301",0.58,"negative"
"TaeA","PWY0_781",0.6,"negative"
"TaeA","PWY0_845",0.61,"negative"
"TaeA","PWY0_862",0.63,"negative"
"TaeA","PWY4FS_7",0.57,"negative"
"TaeA","PWY4FS_8",0.57,"negative"
"TaeA","PWY66_409",0.56,"negative"
"TaeA","PYRIDNUCSAL_PWY",0.57,"negative"
"TaeA","PYRIDOXSYN_PWY",0.61,"negative"
"TaeA","ANAGLYCOLYSIS_PWY",0.54,"negative"
"TaeA","ARGSYNBSUB_PWY",0.53,"negative"
"TaeA","ARO_PWY",0.52,"negative"
"TaeA","COA_PWY",0.52,"negative"
"TaeA","COA_PWY_1",0.52,"negative"
"TaeA","COMPLETE_ARO_PWY",0.53,"negative"
"TaeA","DTDPRHAMSYN_PWY",0.5,"negative"
"TaeA","GLYCOGENSYNTH_PWY",0.51,"negative"
"TaeA","NONMEVIPP_PWY",0.52,"negative"
"TaeA","PANTO_PWY",0.52,"negative"
"TaeA","PANTOSYN_PWY",0.51,"negative"
"TaeA","PEPTIDOGLYCANSYN_PWY",0.53,"negative"
"TaeA","PWY_3841",0.52,"negative"
"TaeA","PWY_5097",0.53,"negative"
"TaeA","PWY_5686",0.51,"negative"
"TaeA","PWY_6151",0.52,"negative"
"TaeA","PWY_6163",0.52,"negative"
"TaeA","PWY_6385",0.54,"negative"
"TaeA","PWY_6386",0.53,"negative"
"TaeA","PWY_6387",0.53,"negative"
"TaeA","PWY_6700",0.52,"negative"
"TaeA","PWY_7238",0.52,"negative"
"TaeA","PWY_7790",0.51,"negative"
"TaeA","PWY_7791",0.51,"negative"
"TaeA","PWY_7851",0.52,"negative"
"vanR_gene_in_vanB_cluster","Escherichia_coli",0.55,"negative"
"vanR_gene_in_vanB_cluster","Blautia_obeum",0.57,"positive"
"vanR_gene_in_vanB_cluster","Dorea_longicatena",0.57,"positive"
"vanR_gene_in_vanB_cluster","Dorea_formicigenerans",0.52,"positive"
"vanR_gene_in_vanB_cluster","FASYN_ELONG_PWY",0.53,"negative"
"vanR_gene_in_vanB_cluster","HOMOSER_METSYN_PWY",0.54,"negative"
"vanR_gene_in_vanB_cluster","MET_SAM_PWY",0.52,"negative"
"vanR_gene_in_vanB_cluster","METSYN_PWY",0.53,"negative"
"vanR_gene_in_vanB_cluster","P161_PWY",0.5,"negative"
"vanR_gene_in_vanB_cluster","P4_PWY",0.5,"negative"
"vanR_gene_in_vanB_cluster","P461_PWY",0.52,"negative"
"vanR_gene_in_vanB_cluster","POLYISOPRENSYN_PWY",0.51,"negative"
"vanR_gene_in_vanB_cluster","PWY_5347",0.53,"negative"
"vanR_gene_in_vanB_cluster","PWY_5838",0.54,"negative"
"vanR_gene_in_vanB_cluster","PWY_5840",0.54,"negative"
"vanR_gene_in_vanB_cluster","PWY_5850",0.54,"negative"
"vanR_gene_in_vanB_cluster","PWY_5861",0.54,"negative"
"vanR_gene_in_vanB_cluster","PWY_5897",0.54,"negative"
"vanR_gene_in_vanB_cluster","PWY_5898",0.54,"negative"
"vanR_gene_in_vanB_cluster","PWY_5899",0.54,"negative"
"vanR_gene_in_vanB_cluster","PWY_5918",0.55,"negative"
"vanR_gene_in_vanB_cluster","PWY_5989",0.51,"negative"
"vanR_gene_in_vanB_cluster","PWY_6282",0.53,"negative"
"vanR_gene_in_vanB_cluster","PWY_6285",0.54,"negative"
"vanR_gene_in_vanB_cluster","PWY_6519",0.53,"negative"
"vanR_gene_in_vanB_cluster","PWY_6961",0.54,"negative"
"vanR_gene_in_vanB_cluster","PWY_7663",0.52,"negative"
"vanR_gene_in_vanB_cluster","PWY_7664",0.53,"negative"
"vanR_gene_in_vanB_cluster","PWY0_301",0.54,"negative"
"vanR_gene_in_vanB_cluster","PWY0_781",0.5,"negative"
"vanR_gene_in_vanB_cluster","PWY0_845",0.52,"negative"
"vanR_gene_in_vanB_cluster","PWY0_862",0.53,"negative"
"vanR_gene_in_vanB_cluster","PYRIDOXSYN_PWY",0.53,"negative"
"Streptomyces_venezuelae_rox","Lachnospiraceae_bacterium",0.51,"negative"
"Streptomyces_venezuelae_rox","Escherichia_coli",0.66,"positive"
"Streptomyces_venezuelae_rox","Firmicutes_bacterium_AF16_15",0.53,"negative"
"Streptomyces_venezuelae_rox","Lachnospiraceae_bacterium_NSJ_29",0.55,"negative"
"Streptomyces_venezuelae_rox","Blautia_sp_Marseille_P3087",0.57,"negative"
"Streptomyces_venezuelae_rox","HOMOSER_METSYN_PWY",0.54,"positive"
"Streptomyces_venezuelae_rox","MET_SAM_PWY",0.51,"positive"
"Streptomyces_venezuelae_rox","METSYN_PWY",0.52,"positive"
"Streptomyces_venezuelae_rox","POLYISOPRENSYN_PWY",0.53,"positive"
"Streptomyces_venezuelae_rox","PWY_5347",0.51,"positive"
"Streptomyces_venezuelae_rox","PWY_5838",0.52,"positive"
"Streptomyces_venezuelae_rox","PWY_5840",0.52,"positive"
"Streptomyces_venezuelae_rox","PWY_5850",0.54,"positive"
"Streptomyces_venezuelae_rox","PWY_5861",0.53,"positive"
"Streptomyces_venezuelae_rox","PWY_5897",0.52,"positive"
"Streptomyces_venezuelae_rox","PWY_5898",0.52,"positive"
"Streptomyces_venezuelae_rox","PWY_5899",0.52,"positive"
"Streptomyces_venezuelae_rox","PWY_5918",0.55,"positive"
"Streptomyces_venezuelae_rox","PWY_6285",0.54,"positive"
"Streptomyces_venezuelae_rox","PWY_6519",0.51,"positive"
"Streptomyces_venezuelae_rox","PWY_6961",0.6,"positive"
"Streptomyces_venezuelae_rox","PWY0_301",0.6,"positive"
"Streptomyces_venezuelae_rox","PYRIDOXSYN_PWY",0.53,"positive"
"rphB","Escherichia_coli",0.51,"positive"
"rphB","Dorea_longicatena",0.56,"negative"
"rphB","Dorea_formicigenerans",0.58,"negative"
"rphB","Clostridium_leptum",0.51,"negative"
"rphB","Blautia_sp_Marseille_P3087",0.58,"negative"
"rphB","Mogibacterium_sp_NSJ_24",0.51,"negative"
"adeI","Lachnospiraceae_bacterium",0.56,"negative"
"adeI","Escherichia_coli",0.56,"positive"
"adeI","Blautia_sp_Marseille_P3087",0.52,"negative"
"almE","Escherichia_coli",0.51,"positive"
"almE","Dorea_longicatena",0.58,"negative"
"almE","Lachnospiraceae_bacterium_NSJ_29",0.51,"negative"
"almE","Clostridium_leptum",0.65,"negative"
"vanV_gene_in_vanB_cluster","Escherichia_coli",0.5,"positive"
"vanV_gene_in_vanB_cluster","Lachnospira_eligens",0.6,"negative"
"vanV_gene_in_vanB_cluster","Vescimonas_coprocola",0.6,"negative"
"vanV_gene_in_vanB_cluster","Dorea_formicigenerans",0.59,"negative"
"vanV_gene_in_vanB_cluster","Ruminococcus_torques",0.51,"negative"
"tetA(60)","Clostridium_leptum",0.52,"negative"
"tetA(60)","Collinsella_aerofaciens",0.5,"negative"
"tetA(60)","Blautia_massiliensis",0.53,"negative"
"vanR_gene_in_vanF_cluster","Coprococcus_catus",0.54,"positive"
"vanR_gene_in_vanF_cluster","Anaerobutyricum_hallii",0.89,"positive"
"vanR_gene_in_vanF_cluster","Coprococcus_comes",0.51,"positive"
"vanR_gene_in_vanF_cluster","Eubacterium_rectale",0.58,"positive"
"vanR_gene_in_vanF_cluster","FASYN_ELONG_PWY",0.51,"negative"
"vanR_gene_in_vanF_cluster","GLYCOLYSIS_E_D",0.52,"negative"
"vanR_gene_in_vanF_cluster","HOMOSER_METSYN_PWY",0.5,"negative"
"vanR_gene_in_vanF_cluster","METSYN_PWY",0.5,"negative"
"vanR_gene_in_vanF_cluster","P4_PWY",0.5,"negative"
"vanR_gene_in_vanF_cluster","P461_PWY",0.5,"negative"
"vanR_gene_in_vanF_cluster","POLYISOPRENSYN_PWY",0.5,"negative"
"vanR_gene_in_vanF_cluster","PWY_5347",0.5,"negative"
"vanR_gene_in_vanF_cluster","PWY_5838",0.51,"negative"
"vanR_gene_in_vanF_cluster","PWY_5840",0.51,"negative"
"vanR_gene_in_vanF_cluster","PWY_5850",0.52,"negative"
"vanR_gene_in_vanF_cluster","PWY_5861",0.51,"negative"
"vanR_gene_in_vanF_cluster","PWY_5897",0.51,"negative"
"vanR_gene_in_vanF_cluster","PWY_5898",0.51,"negative"
"vanR_gene_in_vanF_cluster","PWY_5899",0.51,"negative"
"vanR_gene_in_vanF_cluster","PWY_5918",0.51,"negative"
"vanR_gene_in_vanF_cluster","PWY_6147",0.5,"negative"
"vanR_gene_in_vanF_cluster","PWY_6282",0.51,"negative"
"vanR_gene_in_vanF_cluster","PWY_6285",0.5,"negative"
"vanR_gene_in_vanF_cluster","PWY_6519",0.52,"negative"
"vanR_gene_in_vanF_cluster","PWY_6961",0.51,"negative"
"vanR_gene_in_vanF_cluster","PWY_7664",0.51,"negative"
"vanR_gene_in_vanF_cluster","PWY0_301",0.5,"negative"
"vanR_gene_in_vanF_cluster","PWY0_781",0.5,"negative"
"vanR_gene_in_vanF_cluster","PWY0_845",0.51,"negative"
"vanR_gene_in_vanF_cluster","PWY0_862",0.51,"negative"
"vanR_gene_in_vanF_cluster","PYRIDOXSYN_PWY",0.52,"negative"
"rosB","Escherichia_coli",0.54,"positive"
"rosB","Clostridium_leptum",0.54,"negative"
"rosB","Mogibacterium_sp_NSJ_24",0.54,"negative"
"rosB","Ruminococcus_torques",0.51,"negative"
"tetB(60)","Blautia_SGB4815",0.63,"negative"
"tetB(60)","Candidatus_Cibionibacter_quicibialis",0.53,"negative"
"tetB(60)","Escherichia_coli",0.89,"positive"
"tetB(60)","Faecalibacterium_prausnitzii",0.63,"negative"
"tetB(60)","Coprococcus_catus",0.63,"negative"
"tetB(60)","Lachnospira_eligens",0.52,"negative"
"tetB(60)","Gemmiger_formicilis",0.55,"negative"
"tetB(60)","Blautia_obeum",0.54,"negative"
"tetB(60)","Vescimonas_coprocola",0.53,"negative"
"tetB(60)","Adlercreutzia_equolifaciens",0.59,"negative"
"tetB(60)","Anaerobutyricum_hallii",0.51,"negative"
"tetB(60)","Dorea_longicatena",0.65,"negative"
"tetB(60)","Dorea_formicigenerans",0.62,"negative"
"tetB(60)","Eubacteriaceae_bacterium",0.51,"negative"
"tetB(60)","Dorea_sp_AF36_15AT",0.54,"negative"
"tetB(60)","Eubacterium_rectale",0.59,"negative"
"tetB(60)","Fusicatenibacter_saccharivorans",0.56,"negative"
"tetB(60)","Blautia_sp_Marseille_P3087",0.53,"negative"
"tetB(60)","Blautia_massiliensis",0.56,"negative"
"tetB(60)","Ruminococcus_torques",0.61,"negative"
"tetB(60)","Fusobacterium_nucleatum",0.54,"positive"
"tetB(60)","ASPASN_PWY",0.73,"positive"
"tetB(60)","FASYN_ELONG_PWY",0.81,"positive"
"tetB(60)","GLYCOLYSIS_E_D",0.77,"positive"
"tetB(60)","HOMOSER_METSYN_PWY",0.86,"positive"
"tetB(60)","MET_SAM_PWY",0.83,"positive"
"tetB(60)","METSYN_PWY",0.84,"positive"
"tetB(60)","P161_PWY",0.85,"positive"
"tetB(60)","P4_PWY",0.76,"positive"
"tetB(60)","P461_PWY",0.8,"positive"
"tetB(60)","PENTOSE_P_PWY",0.73,"positive"
"tetB(60)","POLYISOPRENSYN_PWY",0.81,"positive"
"tetB(60)","PWY_5347",0.83,"positive"
"tetB(60)","PWY_5838",0.83,"positive"
"tetB(60)","PWY_5840",0.83,"positive"
"tetB(60)","PWY_5850",0.84,"positive"
"tetB(60)","PWY_5861",0.83,"positive"
"tetB(60)","PWY_5897",0.82,"positive"
"tetB(60)","PWY_5898",0.82,"positive"
"tetB(60)","PWY_5899",0.82,"positive"
"tetB(60)","PWY_5918",0.84,"positive"
"tetB(60)","PWY_5989",0.79,"positive"
"tetB(60)","PWY_6147",0.8,"positive"
"tetB(60)","PWY_6282",0.81,"positive"
"tetB(60)","PWY_6285",0.84,"positive"
"tetB(60)","PWY_6519",0.81,"positive"
"tetB(60)","PWY_6961",0.85,"positive"
"tetB(60)","PWY_7663",0.81,"positive"
"tetB(60)","PWY_7664",0.81,"positive"
"tetB(60)","PWY0_1297",0.8,"positive"
"tetB(60)","PWY0_1298",0.8,"positive"
"tetB(60)","PWY0_1477",0.85,"positive"
"tetB(60)","PWY0_301",0.85,"positive"
"tetB(60)","PWY0_781",0.76,"positive"
"tetB(60)","PWY0_845",0.81,"positive"
"tetB(60)","PWY0_862",0.8,"positive"
"tetB(60)","PWY4FS_7",0.75,"positive"
"tetB(60)","PWY4FS_8",0.75,"positive"
"tetB(60)","PWY66_409",0.73,"positive"
"tetB(60)","PYRIDNUCSAL_PWY",0.69,"positive"
"tetB(60)","PYRIDOXSYN_PWY",0.82,"positive"
"tetB(60)","ANAGLYCOLYSIS_PWY",0.63,"positive"
"tetB(60)","ARGSYNBSUB_PWY",0.61,"positive"
"tetB(60)","ARO_PWY",0.61,"positive"
"tetB(60)","COA_PWY",0.6,"positive"
"tetB(60)","COA_PWY_1",0.6,"positive"
"tetB(60)","COMPLETE_ARO_PWY",0.61,"positive"
"tetB(60)","DTDPRHAMSYN_PWY",0.57,"positive"
"tetB(60)","GLYCOGENSYNTH_PWY",0.6,"positive"
"tetB(60)","HISTSYN_PWY",0.57,"positive"
"tetB(60)","NONMEVIPP_PWY",0.59,"positive"
"tetB(60)","PANTO_PWY",0.66,"positive"
"tetB(60)","PANTOSYN_PWY",0.62,"positive"
"tetB(60)","PEPTIDOGLYCANSYN_PWY",0.63,"positive"
"tetB(60)","PWY_3841",0.62,"positive"
"tetB(60)","PWY_5097",0.63,"positive"
"tetB(60)","PWY_5686",0.59,"positive"
"tetB(60)","PWY_6151",0.61,"positive"
"tetB(60)","PWY_6163",0.6,"positive"
"tetB(60)","PWY_6385",0.65,"positive"
"tetB(60)","PWY_6386",0.63,"positive"
"tetB(60)","PWY_6387",0.63,"positive"
"tetB(60)","PWY_6700",0.6,"positive"
"tetB(60)","PWY_7238",0.61,"positive"
"tetB(60)","PWY_7790",0.59,"positive"
"tetB(60)","PWY_7791",0.59,"positive"
"tetB(60)","PWY_7851",0.6,"positive"
"tsnR","Escherichia_coli",0.53,"negative"
"tsnR","ASPASN_PWY",0.51,"negative"
"tsnR","FASYN_ELONG_PWY",0.57,"negative"
"tsnR","GLYCOLYSIS_E_D",0.52,"negative"
"tsnR","HOMOSER_METSYN_PWY",0.56,"negative"
"tsnR","MET_SAM_PWY",0.54,"negative"
"tsnR","METSYN_PWY",0.55,"negative"
"tsnR","P161_PWY",0.56,"negative"
"tsnR","P4_PWY",0.52,"negative"
"tsnR","P461_PWY",0.55,"negative"
"tsnR","PENTOSE_P_PWY",0.51,"negative"
"tsnR","POLYISOPRENSYN_PWY",0.53,"negative"
"tsnR","PWY_5347",0.54,"negative"
"tsnR","PWY_5838",0.54,"negative"
"tsnR","PWY_5840",0.55,"negative"
"tsnR","PWY_5850",0.54,"negative"
"tsnR","PWY_5861",0.54,"negative"
"tsnR","PWY_5897",0.54,"negative"
"tsnR","PWY_5898",0.54,"negative"
"tsnR","PWY_5899",0.54,"negative"
"tsnR","PWY_5918",0.53,"negative"
"tsnR","PWY_5989",0.55,"negative"
"tsnR","PWY_6147",0.54,"negative"
"tsnR","PWY_6282",0.57,"negative"
"tsnR","PWY_6285",0.54,"negative"
"tsnR","PWY_6519",0.54,"negative"
"tsnR","PWY_6961",0.53,"negative"
"tsnR","PWY_7663",0.55,"negative"
"tsnR","PWY_7664",0.57,"negative"
