"source","target","weight","cor_type"
"Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin","Escherichia_coli",0.59,"positive"
"Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin","HOMOSER_METSYN_PWY",0.52,"positive"
"Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin","METSYN_PWY",0.5,"positive"
"Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin","PWY_5918",0.51,"positive"
"Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin","PWY_6961",0.5,"positive"
"TaeA","Escherichia_coli",0.57,"negative"
"TaeA","Blautia_obeum",0.62,"positive"
"TaeA","ASPASN_PWY",0.55,"negative"
"TaeA","FASYN_ELONG_PWY",0.6,"negative"
"TaeA","GLYCOLYSIS_E_D",0.6,"negative"
"TaeA","HOMOSER_METSYN_PWY",0.59,"negative"
"TaeA","MET_SAM_PWY",0.59,"negative"
"TaeA","METSYN_PWY",0.59,"negative"
"TaeA","P161_PWY",0.57,"negative"
"TaeA","P4_PWY",0.58,"negative"
"TaeA","P461_PWY",0.57,"negative"
"TaeA","PENTOSE_P_PWY",0.56,"negative"
"TaeA","POLYISOPRENSYN_PWY",0.59,"negative"
"TaeA","PWY_5347",0.59,"negative"
"TaeA","PWY_5838",0.6,"negative"
"TaeA","PWY_5840",0.61,"negative"
"TaeA","PWY_5850",0.61,"negative"
"TaeA","PWY_5861",0.6,"negative"
"TaeA","PWY_5897",0.6,"negative"
"TaeA","PWY_5898",0.6,"negative"
"TaeA","PWY_5899",0.6,"negative"
"TaeA","PWY_5918",0.6,"negative"
"TaeA","PWY_5989",0.58,"negative"
"TaeA","PWY_6147",0.54,"negative"
"TaeA","PWY_6282",0.6,"negative"
"TaeA","PWY_6285",0.59,"negative"
"TaeA","PWY_6519",0.6,"negative"
"TaeA","PWY_6961",0.59,"negative"
"TaeA","PWY_7663",0.58,"negative"
"TaeA","PWY_7664",0.6,"negative"
"TaeA","PWY0_1297",0.54,"negative"
"TaeA","PWY0_1298",0.55,"negative"
"TaeA","PWY0_1477",0.6,"negative"
"TaeA","PWY0_301",0.58,"negative"
"TaeA","PWY0_781",0.58,"negative"
"TaeA","PWY0_845",0.62,"negative"
